"Nombre_fichero",N_Pistas,melody,bass,piano_rh,piano_lh,mixdown,accomp
adieu_corage_adieu.mid,8,1 2,3,,,,
arias_kv597.mid,5,1,4 5,,,,2 3
ave_maria_arcadelt.mid,6,1,4 6,,,,2 3 5
Baroque_Baroque-Middle_Rosenmuller_45padal_m.mid,4,1 2,3 4,,,,
Binchois5.mid,5,1,4,,,,2 3
brahms06.mid,5,5,1,,,,2 3 4
erlking.mid,4,1 2 4,,,,,3
Medieval_ArsAntiqua_Anonymous_laude-jocunda-smp.mid,5,2,4,,,,
monteverdi_chi_vuol_veder.mid,8,1 2 5,3,,,,4 6 7 8
palestrina_canticum_canticorum_04.mid,5,1,5,,,,2 3 4
Renaissance_Renaissance-Early_Anonymous_verbum_carum_factum_est-Early.mid,10,2,5,,,,3 4
Renaissance_Renaissance-Middle_Gervaise_bransle_gay_V.mid,10,2,5,,,,3 4
Romanticism_Post-romanticism_Busoni_Busoni3.mid,38,1 3 31,16 37,,,,2 4 5 6 7 8 9 10 11 12 13 14 15 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 36
Romanticism_Post-romanticism_Rachmaninoff_symph_no1_op25_mov3.mid,12,1,12,,,,2 3 4 5 6 7 8 9 10 11
Romanticism_Romanticism_Beethoven_5thSymph_BEET5M4.mid,23,1 2 3 4 5,10 17 23,,,,6 8 9 11 12 13 14 15 16 18 19 20 21 22
Romanticism_Romanticism_Beethoven_Gp_past.mid,14,1 10,13 14,,,,2 3 4 5 6 7 8 9 11 12
Romanticism_Romanticism_Rossini_rossini.mid,16,1 2 3 4 13,16,,,,5 6 7 8 14 15
Romanticism_Romanticism_Schubert_First_Waltzes_D.365_Op.9.mid,4,1,4,,,,2 3
Romanticism_Romanticism_Strauss_Johann_straussj_viennalife.mid,8,6,,,,,5 7 8
schman01.mid,5,5,1,,,,2 3 4
XXCentury_Misc_Grainger_molly.mid,21,1 2 3 4,7 14,,,,5 6 8 9 11 12 13 15 16
XXCentury_Neoclassicism_Prokofiev_Prokofiev-MonteguesAndCapulets.mid,16,1 2 6 12,7 11 16,,,,3 4 5 8 9 10 13 14
