File,TT,FN,FP,TN
m_class_900_0.arff,83.4711,39,57,23,365
m_class_900_1.arff,81.8807,42,47,32,315
m_class_900_2.arff,81.7481,30,36,35,288
m_class_900_3.arff,82.1176,46,45,31,303
m_class_900_4.arff,68.6937,24,75,64,281
m_class_900_5.arff,77.0833,26,46,31,233
m_class_900_6.arff,80.3097,42,58,31,321
m_class_900_8.arff,80.3922,49,76,24,361
m_class_900_9.arff,81.8697,38,42,22,251
m_class_900_10.arff,77.1337,74,110,32,405


b_class_900_0.arff,95.4545,57,6,16,405
b_class_900_1.arff,91.5138,35,20,17,364
b_class_900_2.arff,92.8021,37,11,17,324
b_class_900_3.arff,94.1176,46,16,9,354
b_class_900_4.arff,85.8108,21,20,43,360
b_class_900_5.arff,87.5,20,17,25,274
b_class_900_6.arff,94.9115,55,13,10,374
b_class_900_8.arff,91.3725,51,19,25,415
b_class_900_9.arff,95.4674,45,7,9,292

